Q,R,Elevation,Temperature,Moisture,Biome
-50,0,0.000,1.000,0.775,Ocean
-50,1,0.000,1.000,0.775,Ocean
-50,2,0.000,1.000,0.772,Ocean
-50,3,0.000,1.000,0.764,Ocean
-50,4,0.000,1.000,0.751,Ocean
-50,5,0.000,0.979,0.732,Ocean
-50,6,0.000,0.945,0.709,Ocean
-50,7,0.000,0.907,0.682,Ocean
-50,8,0.000,0.868,0.655,Ocean
-50,9,0.000,0.831,0.629,Ocean
-50,10,0.000,0.795,0.609,Ocean
-50,11,0.000,0.761,0.597,Ocean
-50,12,0.000,0.728,0.596,Ocean
-50,13,0.000,0.696,0.607,Ocean
-50,14,0.000,0.666,0.630,Ocean
-50,15,0.000,0.638,0.662,Ocean
-50,16,0.000,0.611,0.702,Ocean
-50,17,0.000,0.586,0.745,Ocean
-50,18,0.000,0.565,0.789,Ocean
-50,19,0.000,0.547,0.827,Ocean
-50,20,0.000,0.534,0.852,Ocean
-50,21,0.000,0.525,0.855,Ocean
-50,22,0.000,0.519,0.830,Ocean
-50,23,0.000,0.510,0.778,Ocean
-50,24,0.000,0.495,0.701,Ocean
-50,25,0.000,0.474,0.608,Ocean
-50,26,0.000,0.446,0.509,Ocean
-50,27,0.000,0.415,0.414,Ocean
-50,28,0.000,0.380,0.336,Ocean
-50,29,0.000,0.346,0.281,Ocean
-50,30,0.000,0.313,0.254,Ocean
-50,31,0.000,0.284,0.254,Ocean
-50,32,0.000,0.260,0.276,Ocean
-50,33,1.650,0.242,0.310,IceCap
-50,34,1.650,0.230,0.348,IceCap
-50,35,1.650,0.223,0.395,IceCap
-50,36,1.650,0.218,0.450,IceCap
-50,37,1.650,0.214,0.508,IceCap
-50,38,1.650,0.210,0.565,IceCap
-50,39,1.650,0.202,0.613,IceCap
-50,40,1.650,0.190,0.647,IceCap
-50,41,1.650,0.171,0.660,IceCap
-50,42,1.650,0.148,0.652,IceCap
-50,43,1.650,0.121,0.625,IceCap
-50,44,1.650,0.093,0.585,IceCap
-50,45,1.650,0.067,0.538,IceCap
-50,46,1.650,0.043,0.492,IceCap
-50,47,1.650,0.024,0.453,IceCap
-50,48,1.650,0.011,0.423,IceCap
-50,49,1.650,0.000,0.403,IceCap
-50,50,1.650,0.000,0.392,IceCap
-49,-1,0.000,0.996,0.707,Ocean
